PBF_datetime,AEF,APEF,RES,MEFmodel,MPEFmodel
2022-10-24T22:00:00Z,0.3000855333983847,1.9849372758132569,0.3634745963493752,0.3056899356154208,0.9960192455146296
2022-10-24T23:00:00Z,0.2987603526544655,1.9521544511874616,0.3953105673568163,0.2850904987382394,0.8881917678405771
2022-10-25T00:00:00Z,0.2605823118550836,1.9458892252594508,0.4137570922558488,0.2714657454124846,0.8064293777746939
2022-10-25T01:00:00Z,0.2396949929971989,1.8918493547418969,0.4410954138513973,0.2528810809848996,0.7444019566540216
2022-10-25T02:00:00Z,0.217394025269219,1.87344227152122,0.459501133786848,0.2405804227930966,0.7090221937842902
2022-10-25T03:00:00Z,0.2057733031364338,1.7823614040579938,0.4721936783262772,0.234791344381281,0.72748805670151
2022-10-25T04:00:00Z,0.2128337635174224,1.6075205642828534,0.4727521009385829,0.242812732947725,0.8682518157484065
2022-10-25T05:00:00Z,0.2002178442028986,1.364800115567217,0.4661490683229813,0.2531656361762899,1.0358266272769754
2022-10-25T06:00:00Z,0.1981478943807013,1.3413918163901453,0.4989920494023381,0.2391761026146626,1.0311192561663622
2022-10-25T07:00:00Z,0.1468837720903673,1.270688871725794,0.5243268202585788,0.2282919432122682,0.9975899981747482
2022-10-25T08:00:00Z,0.0902383596260062,1.169193455109924,0.5573982940177643,0.2146149966086201,0.9517562202553342
2022-10-25T09:00:00Z,0.0530510664442452,1.0708088366095252,0.6048956915075528,0.1951471206135546,0.8748751472460263
2022-10-25T10:00:00Z,0.0251750851615863,0.9455729742132484,0.665860266462676,0.1708576548367066,0.7673926366413487
2022-10-25T11:00:00Z,-0.0062362994813661,0.8549510299383644,0.7052854569831428,0.156268686819829,0.6956217287266396
2022-10-25T12:00:00Z,-0.0371153325860936,0.8223417918995937,0.7150990370885659,0.1510217263832747,0.6710951399048325
2022-10-25T13:00:00Z,-0.0679849421072387,0.8136222677792857,0.7144340697157405,0.1463139218863706,0.6527355185830569
2022-10-25T14:00:00Z,-0.0668378617544144,0.8336255673584967,0.7047883750862728,0.1465755611353554,0.6546814552316925
2022-10-25T15:00:00Z,-0.0267160760330824,0.9394077675313768,0.6561807638727284,0.1675546893792315,0.7466530721664564
2022-10-25T16:00:00Z,0.0163921058788898,1.085277294306783,0.592242900663514,0.1951971541041398,0.8543352396128556
2022-10-25T17:00:00Z,0.0648919714424322,1.1989530798583707,0.5648702529577097,0.2112073824770659,0.9368928865708234
2022-10-25T18:00:00Z,0.1212444560967309,1.2236830825005034,0.5557508539227283,0.2172233386393802,0.976728279208892
2022-10-25T19:00:00Z,0.1606305321129997,1.3748548602631567,0.5271429945461087,0.2276687660848882,1.0039394948209577
2022-10-25T20:00:00Z,0.1267865940028329,1.3881904664730031,0.4980063268414548,0.236316644742351,0.9595614787509787
2022-10-25T21:00:00Z,0.1127893938596952,1.3841924061508246,0.4836521902751701,0.2377086291896751,0.8709012114220582
